,papel,empresa,setor,subsetor
0,TTEN3,3TENTOS ON NM,Agropecuária,Agricultura
1,AGXY3,AGROGALAXY ON NM,Agropecuária,Agricultura
2,SOJA3,BOA SAFRA ON NM,Agropecuária,Agricultura
3,AGRO3,BRASILAGRO ON NM,Agropecuária,Agricultura
4,FRTA3,POMIFRUTAS ON NM,Agropecuária,Agricultura
5,SLCE3,SLC Agricola ON NM,Agropecuária,Agricultura
6,AMBP3,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento
7,CSMG3,COPASA MG ON,Água e Saneamento,Água e Saneamento
8,ORVR3,ORIZON ON NM,Água e Saneamento,Água e Saneamento
9,SBSP3,SABESP ON NM,Água e Saneamento,Água e Saneamento
10,SAPR3,SANEPAR ON,Água e Saneamento,Água e Saneamento
11,SAPR4,SANEPAR PN,Água e Saneamento,Água e Saneamento
12,SAPR11,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento
13,JALL3,JALLESMACHAD ON NM,Alimentos Processados,Açucar e Alcool
14,SMTO3,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool
15,CAML3,CAMIL ON NM,Alimentos Processados,Alimentos Diversos
16,JOPA3,JOSAPAR S/A ON,Alimentos Processados,Alimentos Diversos
17,JOPA4,JOSAPAR S/A PN,Alimentos Processados,Alimentos Diversos
18,MDIA3,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos
19,BRFS3,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados
20,BAUH4,EXCELSIOR PN,Alimentos Processados,Carnes e Derivados
21,JBSS3,JBS ON NM,Alimentos Processados,Carnes e Derivados
22,MRFG3,Marfrig ON NM,Alimentos Processados,Carnes e Derivados
23,BEEF3,Minerva ON NM,Alimentos Processados,Carnes e Derivados
24,MNPR3,MINUPAR ON,Alimentos Processados,Carnes e Derivados
25,MYPK3,IOCHPE-MAXION ON,Automóveis e Motocicletas,Automóveis e Motocicletas
26,LEVE3,MAHLE METAL LEVE ON,Automóveis e Motocicletas,Automóveis e Motocicletas
27,PLAS3,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A ON,Automóveis e Motocicletas,Automóveis e Motocicletas
28,ABEV3,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes
29,ALLD3,ALLIED ON NM,Comércio,Eletrodomésticos
30,MGLU3,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos
31,VIIA3,VIA ON,Comércio,Eletrodomésticos
32,EPAR3,EMBPAR S/A ON,Comércio,Material de Transporte
33,WLMM3,WLM ON,Comércio,Material de Transporte
34,WLMM4,WLM PN,Comércio,Material de Transporte
35,AMER3,AMERICANAS ON,Comércio,Produtos Diversos
36,SLED3,EDITORA SARAIVA ON,Comércio,Produtos Diversos
37,SLED4,EDITORA SARAIVA PN,Comércio,Produtos Diversos
38,ESPA3,ESPACOLASER ON NM,Comércio,Produtos Diversos
39,SBFG3,GRUPO SBF ON,Comércio,Produtos Diversos
40,LAME3,LOJAS AMERICANAS S.A. ON,Comércio,Produtos Diversos
41,LAME4,LOJAS AMERICANAS S.A. PN,Comércio,Produtos Diversos
42,PETZ3,PETZ ON NM,Comércio,Produtos Diversos
43,LJQQ3,QUERO-QUERO ON NM,Comércio,Produtos Diversos
44,ARZZ3,AREZZO CO ON NM,Comércio,"Tecidos, Vestuário e Calçados"
45,CEAB3,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados"
46,CGRA3,GRAZZIOTIN ON,Comércio,"Tecidos, Vestuário e Calçados"
47,CGRA4,GRAZZIOTIN PN,Comércio,"Tecidos, Vestuário e Calçados"
48,SOMA3,GRUPO SOMA ON NM,Comércio,"Tecidos, Vestuário e Calçados"
49,GUAR3,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados"
50,LLIS3,LE LIS BLANC DEUX ON,Comércio,"Tecidos, Vestuário e Calçados"
51,AMAR3,LOJAS MARISA ON NM,Comércio,"Tecidos, Vestuário e Calçados"
52,LREN3,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados"
53,ASAI3,ASSAI ON NM,Comércio e Distribuição,Alimentos
54,CRFB3,CARREFOUR BR ON NM,Comércio e Distribuição,Alimentos
55,GMAT3,GRUPO MATEUS ON NM,Comércio e Distribuição,Alimentos
56,PCAR3,PÃO DE AÇÚCAR ON,Comércio e Distribuição,Alimentos
57,BLAU3,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos
58,DMVF3,D1000VFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos
59,HYPE3,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos
60,PGMN3,PAGUE MENOS ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos
61,PNVL3,PANVEL FARMÁCIAS ON,Comércio e Distribuição,Medicamentos e Outros Produtos
62,PFRM3,PROFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos
63,RADL3,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos
64,VVEO3,VIVEO ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos
65,INTB3,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos
66,MLAS3,MULTILASER ON NM,Computadores e Equipamentos,Computadores e Equipamentos
67,POSI3,POSITIVO INF ON NM,Computadores e Equipamentos,Computadores e Equipamentos
68,AVLL3,ALPHAVILLE ON NM,Construção Civil,Incorporações
69,CRDE3,CR2 ON,Construção Civil,Incorporações
70,CURY3,CURY S/A ON NM,Construção Civil,Incorporações
71,CYRE3,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações
72,DIRR3,Direcional Engenharia ON NM,Construção Civil,Incorporações
73,EVEN3,Even ON NM,Construção Civil,Incorporações
74,EZTC3,EZTec ON NM,Construção Civil,Incorporações
75,GFSA3,GAFISA ON,Construção Civil,Incorporações
76,HBOR3,Helbor ON,Construção Civil,Incorporações
77,JHSF3,JHSF Part ON NM,Construção Civil,Incorporações
78,JFEN3,JOÃO FORTES ENGENHARIA S.A. ON,Construção Civil,Incorporações
79,LAVV3,LAVVI ON NM,Construção Civil,Incorporações
80,MELK3,MELNICK ON NM,Construção Civil,Incorporações
81,MTRE3,MITRE REALTY ON NM,Construção Civil,Incorporações
82,MDNE3,MOURA DUBEUX ON NM,Construção Civil,Incorporações
83,MRVE3,MRV ON NM,Construção Civil,Incorporações
84,PDGR3,PDG REALT ON NM,Construção Civil,Incorporações
85,PLPL3,PLANOEPLANO ON NM,Construção Civil,Incorporações
86,RDNI3,RNI ON NM,Construção Civil,Incorporações
87,RSID3,ROSSI RESIDENCIAL ON N1,Construção Civil,Incorporações
88,TCSA3,TECNISA ON NM,Construção Civil,Incorporações
89,TEND3,Tenda ON NM,Construção Civil,Incorporações
90,TRIS3,Trisul ON NM,Construção Civil,Incorporações
91,VIVR3,VIVER ON NM,Construção Civil,Incorporações
92,AZEV3,AZEVEDO & TRAVASSOS ON,Construção e Engenharia,Construção Pesada
93,AZEV4,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada
94,SOND5,SONDOTECNICA S/A. PNA,Construção e Engenharia,Engenharia Consultiva
95,TCNO3,TECNOSOLO S/A ON,Construção e Engenharia,Engenharia Consultiva
96,TCNO4,TECNOSOLO S/A PN,Construção e Engenharia,Engenharia Consultiva
97,ETER3,ETERNIT ON,Construção e Engenharia,Produtos para Construção
98,HAGA4,HAGA ON,Construção e Engenharia,Produtos para Construção
99,HAGA3,HAGA ON,Construção e Engenharia,Produtos para Construção
100,PTBL3,PORTOBELLO S/A ON,Construção e Engenharia,Produtos para Construção
101,MILS3,MILLS ON NM,Construção e Engenharia,Serviços Diversos
102,ARML3,ARMAC ON NM,Diversos,Aluguel de carros
103,RENT3,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros
104,LCAM3,LOCAMERICA ON NM,Diversos,Aluguel de carros
105,MOVI3,MOVIDA ON NM,Diversos,Aluguel de carros
106,VAMO3,VAMOS ON NM,Diversos,Aluguel de carros
107,DOTZ3,DOTZ SA ON NM,Diversos,Programas de Fidelização
108,ANIM3,ANIMA ON NM,Diversos,Serviços Educacionais
109,BAHI3,BAHEMA ON,Diversos,Serviços Educacionais
110,BAHI11,BAHEMA PRB,Diversos,Serviços Educacionais
111,COGN3,COGNA ON,Diversos,Serviços Educacionais
112,CSED3,CRUZEIRO EDU ON NM,Diversos,Serviços Educacionais
113,SEER3,SER EDUCA ON NM,Diversos,Serviços Educacionais
114,YDUQ3,YDUQS PART ON,Diversos,Serviços Educacionais
115,MTIG4,IGUAÇU PN,Embalagens,Embalagens
116,AESB3,AES BRASIL ON NM,Energia Elétrica,Energia Elétrica
117,AFLT3,AFLUENTE T ON,Energia Elétrica,Energia Elétrica
118,ALUP3,ALUPAR ON N2,Energia Elétrica,Energia Elétrica
119,ALUP4,ALUPAR PN N2,Energia Elétrica,Energia Elétrica
120,ALUP11,ALUPAR UNT N2,Energia Elétrica,Energia Elétrica
121,CBEE3,AMPLA ENERG ON,Energia Elétrica,Energia Elétrica
122,CEBR3,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA ON,Energia Elétrica,Energia Elétrica
123,CEBR5,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA,Energia Elétrica,Energia Elétrica
124,CEBR6,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNB,Energia Elétrica,Energia Elétrica
125,CEED3,CEEE-D ON N1,Energia Elétrica,Energia Elétrica
126,CLSC3,CELESC ON N2,Energia Elétrica,Energia Elétrica
127,CLSC4,CELESC PN N2,Energia Elétrica,Energia Elétrica
128,CEPE5,CELPE PNA,Energia Elétrica,Energia Elétrica
129,EQMA3B,CEMAR ON MB,Energia Elétrica,Energia Elétrica
130,CMIG3,CEMIG ON N1,Energia Elétrica,Energia Elétrica
131,CMIG4,CEMIG PN N1,Energia Elétrica,Energia Elétrica
132,CESP3,CESP CIA ENERGETICA SAO PAULO ON,Energia Elétrica,Energia Elétrica
133,CESP5,CESP CIA ENERGETICA SAO PAULO PNA,Energia Elétrica,Energia Elétrica
134,CESP6,CESP CIA ENERGETICA SAO PAULO PNB,Energia Elétrica,Energia Elétrica
135,COCE3,CIA ENERG CEARA - COELCE ON,Energia Elétrica,Energia Elétrica
136,COCE5,CIA ENERG CEARA - COELCE PNA,Energia Elétrica,Energia Elétrica
137,CEEB3,COELBA ON,Energia Elétrica,Energia Elétrica
138,CPLE3,COPEL ON,Energia Elétrica,Energia Elétrica
139,CPLE5,COPEL PNA,Energia Elétrica,Energia Elétrica
140,CPLE6,COPEL PNB,Energia Elétrica,Energia Elétrica
141,CPLE11,COPEL UNT,Energia Elétrica,Energia Elétrica
142,CSRN3,COSERN ON,Energia Elétrica,Energia Elétrica
143,CSRN5,COSERN PNA,Energia Elétrica,Energia Elétrica
144,CSRN6,COSERN PNB,Energia Elétrica,Energia Elétrica
145,CPFE3,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica
146,GEPA3,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON",Energia Elétrica,Energia Elétrica
147,GEPA4,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN",Energia Elétrica,Energia Elétrica
148,ENBR3,EDP ENERGIAS DO BRASIL S/A ON,Energia Elétrica,Energia Elétrica
149,EKTR3,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. ON,Energia Elétrica,Energia Elétrica
150,EKTR4,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. PN,Energia Elétrica,Energia Elétrica
151,ELET3,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica
152,ELET5,ELETROBRÁS PNA,Energia Elétrica,Energia Elétrica
